ifsc,bank_id,branch,address,city,district,state,bank_name
ICIC00CUCBL,8,THE CHANDGAD URBAN CO-OP BANK LIMITED,MAIN ROAD GURUVAR PETH CHANDGAD TAL CHANDGAD DIST KOLHAPUR - 416509,CHANDGAD,KOLHAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00DAUSA,8,DAUSA URBAN COOPERATIVE BANK,"NEW MANDI ROAD, DAUSA ┬û 303303,RAJASTHAN",DAUSA,DAUSA,RAJASTHAN,ICICI BANK LIMITED
ICIC00DCBCM,8,CHAMOLI ZILA SAHAKARI BANK LTD,"HEAD OFFICE GOPESHWAR , DIST CHAMOLI UTTRAKHAND PIN CODE -246401",GOPESHWAR CHAMOLI,CHAMOLI,UTTARAKHAND,ICICI BANK LIMITED
ICIC00DCBLS,8,DISTRICT COOPERATIVE BANK LTD  SAHARANPUR,"HEAD OFFICE, RAILWAY ROAD, SAHARANPUR ┬û 247001",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00DDCBL,8,DISTRICT CO-OPERATIVE BANK  DEHRADUN,"DISTRICT CO-OPERATIVE BANK LTD. DEHADUN COURT CAMPUS DEHRADUN-248001,UTTARANCHAL",DEHRADUN,DEHRA DUN,UTTARAKHAND,ICICI BANK LIMITED
ICIC00DDNSB,8,DEENDAYAL NAGARI SAHAKARI BANK LTD,AMBAJOGAI DEENDAYAL BHAVAN PRASHANT NAGAR AMBAJOGAI 431517 DIST BEED,AMBAJOGAI,BID,MAHARASHTRA,ICICI BANK LIMITED
ICIC00DMKJA,8,DATTATRAYA MAHARAJ KALAMBE JAOLI SAHAKARI BANK LTD,"418/20, MAULANA AZAD ROAD, MUMBAI-400004",MUMBAI,GREATER BOMBAY,MAHARASHTRA,ICICI BANK LIMITED
ICIC00DMNSB,8,DWARKADAS MANTRI NAGARI SAH BANK,HEAD OFFICE JALNA ROAD BEED 431122,BHID,BID,MAHARASHTRA,ICICI BANK LIMITED
ICIC00DUCBL,8,DEVIKA URBAN CO-OPERATIVE BANK LTD,"P N DOGRA MARKET, UDHAMPUR (J & K) ┬û 182101",UDHAMPUR,UDHAMPUR,JAMMU AND KASHMIR,ICICI BANK LIMITED
ICIC00ETAWH,8,ETAWAH DISTRICT CO-OPERATIVE BANK LTD,"ETAWAH DISTRICT CO-OPERATIVE BANK LTD,  H.O., ETAWAH KUTCHERY ROAD, NAURANGABAD, ETAWAH ┬û 206001",ETAWAH,ETAWAH,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00ETDCB,8,ETAH DISTRICT COOPERATIVE BANK LTD,"POST OFFICE CIVIL LINES, KUCTERY ROAD, ETAH 207001",ETAH,ETAH,UTTAR PRADESH,ICICI BANK LIMITED
